iter	Passed	Remaining
0	115	11408
1	126	6175
2	145	4696
3	159	3826
4	171	3253
5	188	2947
6	196	2612
7	207	2386
8	316	3202
9	360	3245
10	391	3171
11	493	3617
12	516	3454
13	535	3287
14	549	3111
15	562	2953
16	572	2795
17	582	2655
18	596	2543
19	608	2433
20	619	2328
21	627	2226
22	643	2154
23	654	2073
24	665	1997
25	678	1931
26	703	1902
27	804	2069
28	819	2006
29	867	2024
30	877	1953
31	893	1898
32	904	1836
33	932	1810
34	1048	1947
35	1058	1881
36	1093	1861
37	1102	1799
38	1128	1764
39	1139	1709
40	1153	1660
41	1174	1622
42	1187	1574
43	1200	1528
44	1217	1488
45	1229	1443
46	1239	1397
47	1252	1356
48	1264	1316
49	1278	1278
50	1288	1238
51	1298	1198
52	1308	1160
53	1317	1122
54	1330	1088
55	1348	1059
56	1363	1028
57	1372	993
58	1381	960
59	1390	927
60	1400	895
61	1411	864
62	1420	834
63	1429	804
64	1441	776
65	1456	750
66	1475	726
67	1489	700
68	1582	711
69	1593	683
70	1604	655
71	1618	629
72	1630	603
73	1639	576
74	1649	549
75	1659	523
76	1668	498
77	1677	473
78	1688	448
79	1700	425
80	1711	401
81	1721	377
82	1731	354
83	1740	331
84	1749	308
85	1758	286
86	1769	264
87	1778	242
88	1787	220
89	1796	199
90	1807	178
91	1817	158
92	1827	137
93	1838	117
94	1848	97
95	1858	77
96	1867	57
97	1877	38
98	1886	19
99	1897	0
