square_feet,bedrooms,bathrooms,age_years,lot_size,garage_spaces,has_pool,has_basement,neighborhood_score,price
3868,5,1,44,9114.99586184652,2,0,0,3.6207680949696175,710113.1981138579
3269,3,2,0,10026.90647314269,1,0,1,7.950408011537553,695457.2800512689
3559,2,3,28,18061.149107515364,0,0,1,1.679743774232982,719536.6851009207
3094,3,2,7,10975.937464662307,3,0,0,8.44823095732632,677664.4902553131
871,1,1,3,14438.299326207676,3,0,0,4.8490217724175215,295586.0654118653
2653,4,2,34,5791.2846724150695,0,0,0,6.3645753799053555,543045.2316661205
3032,4,1,2,9487.80290535017,2,0,1,1.8068700811211111,593491.1531198125
2853,1,2,44,3345.547450396747,0,0,0,4.036231705215517,501540.4691225878
2029,2,1,39,4913.620681662272,0,0,1,1.807308271133612,337103.06354383146
2367,1,2,6,1017.9248900849907,1,0,1,9.653893505929986,527655.2771700941
3753,3,1,26,1746.0359813245445,0,1,0,8.265354843936255,753369.1651254264
1186,1,2,0,19568.392640361657,0,1,0,5.136694789208142,376068.0387906284
2591,1,2,26,5604.720207598484,3,0,1,3.01242293491304,520274.57328715624
1498,2,3,15,13602.903480576037,1,0,0,9.40109594724867,469257.0032802906
3947,3,3,37,16942.89427719262,3,0,0,4.101369361542746,823882.4704557399
2000,5,1,6,11462.54872549472,3,0,0,2.4488598851863728,462514.9127045337
1626,5,2,43,3909.7455015951678,2,0,1,6.068479496085594,377567.17739505734
2622,4,1,22,14834.212309387161,2,0,1,9.493967083103344,642755.3713949445
1148,1,3,40,12404.776791892078,1,0,1,1.0344726145029033,305141.18391757796
2078,4,1,10,14893.761197600126,1,0,1,3.1431235892859886,483686.7143873405
1107,2,1,41,15625.185834284655,2,0,1,9.446028763693668,381465.9743506732
1950,5,3,32,19532.79698601016,2,1,1,2.5397737017144584,548435.33084755
2760,1,2,49,11897.70232050749,2,0,0,2.019191064758379,532415.6620921983
3134,2,1,35,7491.181141121435,2,1,0,6.13168494219824,628768.9493323879
1565,2,3,36,13320.826581104504,2,1,1,8.75659440965347,482566.36381203466
1524,1,2,40,2300.3734756098966,3,0,1,5.293988359245335,359727.32767022186
3609,2,3,16,18050.54904811014,1,0,1,9.951078310160723,805412.9113766607
